Director,Rating
607773,6.1
609093,5.8
609148,7.47
609175,5.63
609626,7.9
609731,8.6
609850,4.87
610093,6.5
610133,6.77
610518,4.62
611381,6.1
611645,6.2
612001,6.82
612759,6.1
613017,5.75
614264,6.9
614754,7.2
614876,6.3
614996,6.6
615093,5.8
615557,5.0
615615,6.7
615649,5.2
615650,6.28
616044,6.05
616212,4.35
616598,7.4
617430,6.2
617728,6.64
617932,4.74
618107,6.55
618356,2.6
619420,4.5
619442,7.3
619448,4.4
620170,3.7
620950,6.75
621077,5.5
621895,6.8
622221,7.2
622236,5.9
622277,6.55
622450,5.8
622477,7.2
622575,7.3
622879,7.3
623643,6.3
624247,7.7
625545,2.8
625597,6.2
