Actor,Rating
539559,6.3
539578,2.5
539580,5.58
539594,6.74
539624,5.7
539632,6.4
539661,4.2
539675,8.0
539681,3.8
539682,6.7
539688,7.1
539691,6.8
539709,6.2
539721,5.6
539725,6.95
539740,7.5
539751,5.8
539756,6.3
539757,5.7
539762,7.7
539763,7.2
539767,4.5
539773,5.9
539781,5.55
539787,5.7
539789,5.9
539803,8.0
539806,8.0
539814,6.05
539819,4.2
539849,3.7
539860,5.6
539888,8.3
539905,4.3
539910,7.7
539922,8.0
539930,8.1
539939,6.6
539960,6.6
539966,7.2
539967,6.1
539970,5.1
539972,7.7
540016,6.4
540018,6.7
540024,5.4
540034,5.9
540037,5.05
540038,6.9
540039,6.9
540079,5.3
540107,6.7
540109,1.8
540131,6.6
540139,6.1
540141,5.8
540148,5.9
540180,7.4
540182,8.3
540185,6.9
540196,4.9
540200,4.6
540203,6.6
540224,5.95
540264,7.1
540285,4.7
540287,5.9
540307,7.4
540317,6.8
540339,2.0
540368,4.9
540417,4.1
540418,7.2
540432,5.2
540434,2.8
540435,6.2
540453,5.9
540471,5.8
540472,6.35
540478,4.9
540491,6.5
540498,5.9
540499,6.9
540502,6.5
540510,6.2
540515,5.8
540517,6.7
540521,5.8
540572,6.9
540577,6.95
540608,5.56
540628,4.6
540633,8.0
540640,6.5
540643,5.2
540648,5.3
540652,6.4
540660,6.6
540670,6.5
540680,6.31
540685,5.92
540693,6.27
540697,6.67
540701,5.7
540703,3.7
540708,6.0
540712,7.6
540737,6.1
540741,6.8
540747,8.4
540766,6.05
540770,5.65
540774,7.2
540791,8.8
540798,7.2
540802,7.1
540830,5.6
540844,6.2
540872,7.0
540884,6.0
540897,6.4
540898,6.9
540905,6.8
540911,5.2
540915,3.3
540924,3.1
540929,7.1
540933,6.1
540939,6.2
540952,7.2
540980,5.4
540988,5.9
540989,6.9
540996,6.9
541023,7.5
541058,3.4
541082,6.53
541084,7.0
541089,8.6
541091,6.3
541095,8.2
541100,6.47
541116,5.3
541123,6.7
541138,6.8
541158,7.5
541174,7.0
541192,6.9
541199,7.1
541203,5.15
541227,5.3
541230,2.8
541234,4.05
541246,6.5
541248,5.8
541256,3.7
541264,6.6
541266,6.3
541310,6.33
541314,6.1
541345,5.5
541399,3.6
541400,5.9
541419,6.7
541424,5.6
541456,6.3
541488,4.0
541504,4.0
541505,5.6
541511,4.0
541518,7.0
541534,6.6
541537,7.7
541543,6.65
541568,5.9
541577,6.25
541585,6.9
541622,5.9
541640,6.5
541644,6.43
541665,6.5
541670,6.8
541693,7.4
541695,7.03
541701,7.9
541708,4.5
541709,6.1
541715,6.0
541732,6.9
541734,5.1
541735,7.1
541736,6.9
541751,6.9
541769,7.0
541778,6.2
541788,6.4
541789,3.9
541795,5.8
541798,4.4
541811,6.47
541827,7.0
541831,8.7
541832,7.4
541837,7.7
541842,6.4
541858,5.2
541900,6.3
541903,6.5
541919,6.36
541928,7.0
541933,4.8
541954,5.35
541971,6.6
541992,7.0
542012,2.2
542018,7.7
542020,7.0
542024,6.3
542049,4.7
542056,6.1
542077,5.3
542078,6.35
542081,6.8
542123,6.3
542136,3.1
542142,5.8
542152,4.8
542154,6.4
542167,6.25
542180,5.8
542187,5.83
542188,6.4
542193,2.8
542213,7.8
542225,6.4
542230,5.18
542247,3.8
542252,6.2
542265,6.9
542285,7.1
542287,4.5
542310,5.3
542339,5.7
542362,6.9
542380,6.9
542397,6.75
542416,5.9
542420,6.2
542440,5.84
542441,6.5
542443,7.65
542449,2.1
542455,5.7
542458,5.7
542470,7.2
542513,5.6
542540,4.5
542542,4.8
542545,6.5
542547,6.3
542552,5.9
542556,6.7
542567,7.1
542588,4.3
542592,5.9
542626,7.7
542634,7.9
542648,6.5
542652,3.5
542671,8.2
542704,7.1
542733,6.9
542741,4.4
542748,5.7
542763,4.6
542764,5.74
542765,6.7
542768,2.7
542769,5.3
542773,5.8
542775,7.3
542786,7.8
542787,7.8
542798,7.6
542800,5.3
542818,5.7
542820,6.0
542839,5.8
542844,7.2
542846,5.9
542850,6.83
542852,5.6
542861,5.5
542877,7.3
542879,6.8
542886,4.2
542891,6.3
542893,6.8
542901,3.4
542905,7.27
542906,7.9
542930,8.5
542931,6.35
542938,5.0
542970,7.3
542981,6.6
542987,6.83
543006,7.0
543009,6.2
543011,7.0
543023,4.5
543028,5.6
543035,5.9
543061,5.0
543077,8.65
543118,5.6
543126,6.8
543127,6.6
543128,7.7
543141,4.8
543144,5.2
543163,6.2
543168,4.5
543170,5.1
543194,7.4
543195,6.5
543208,6.2
543222,6.55
543231,8.3
543235,6.8
543279,7.7
543287,6.7
543288,5.04
543290,6.2
543298,6.8
543326,6.7
543340,7.03
543344,5.91
543346,6.9
543365,5.7
543367,6.9
543369,2.8
543371,6.7
543388,7.4
543396,6.9
543401,7.1
543404,6.8
543412,5.3
543414,5.9
543422,6.4
543431,7.5
543433,6.7
543462,4.4
543474,7.0
543477,7.0
543504,6.45
543542,6.0
543545,5.0
543557,6.6
543560,4.4
543571,6.4
543572,6.4
543577,5.2
543580,6.2
543588,6.6
543596,3.6
543631,6.2
543632,6.4
543635,5.9
543660,6.2
543663,6.5
543669,7.35
543680,5.3
543686,5.85
543698,6.72
543713,8.1
543714,6.2
543715,6.8
543730,8.3
543737,7.6
543740,7.4
543741,4.3
543743,7.2
543758,7.5
543762,6.5
543764,6.1
543774,6.75
543776,2.5
543789,5.3
543809,7.0
543811,6.6
543821,6.0
