"","Film","Rating","Actor.Group1","Actor.Group2","Actor.Group3","Actor.Group4","Director","Producer","Writer"
"3309","2307716",5.1,0,0,11,0,5.09999990463257,5.50555555025737,5.09999990463257
"3310","2307837",4.3,0,29,11,0,4.30000019073486,5.15000010530154,3.96250016987324
"3311","2307946",7.3,0,0,48,0,6.81000003814697,6.57515339712589,6.55000003178914
"3312","2308058",5.7,0,1,77,0,5.69999980926514,5.71791116230301,5.33333317438761
"3313","2308252",6.6,0,0,15,0,6.69999996821086,6.59624996383985,6.69999996821086
"3314","2308278",7.2,0,0,50,1,7.19999980926514,6.28364379745054,7.19999980926514
"3315","2308333",6.6,0,0,53,1,6.59999990463257,6.55045318000498,6.89999998940362
"3316","2308443",4.5,0,50,9,0,4.5,4.38333330551783,4.5
"3317","2308497",3.2,0,22,4,0,3.20000004768372,3.20000004768372,3.20000004768372
"3318","2308579",1.7,5,1,4,0,1.70000004768372,1.70000004768372,1.70000004768372
"3319","2308595",7.5,0,0,87,7,7.0666667620341,7.22181345301468,7.0666667620341
"3320","2308600",6.8,0,0,17,0,6.80000019073486,6.0600001335144,6.80000019073486
"3321","2308624",7.3,0,0,9,0,7.30000019073486,6.72083346048991,6.40666676362356
"3322","2308663",5.6,0,3,45,0,5.44999992847443,6.22438444096144,6.26666657129924
"3323","2308753",4.1,0,9,15,0,4.09999990463257,5.60805288785034,4.69999992847443
"3324","2308757",6.8,0,1,67,0,7.08333341280619,6.60680282633045,6.80416679382324
"3325","2308953",6.4,0,0,20,0,6.40000009536743,6.43888894716899,6.40000009536743
"3326","2308976",7.2,0,0,4,0,6.25,6.27999999523163,6.25
"3327","2309046",7.2,0,0,4,0,7.29999987284342,7.17199981689453,7.39999985694885
"3328","2309080",7,0,0,53,0,7,7,7
"3329","2309124",5.9,0,0,21,0,6.26249998807907,6.20357149588962,6.85000014305115
"3330","2309156",7.3,0,0,3,0,6.95000016689301,7.1333335240682,6.84000015258789
"3331","2309232",5.8,0,0,34,0,5.90000009536743,5.81250017881393,5.80000019073486
"3332","2309303",6.6,0,0,1,0,6.59999990463257,6.59999990463257,6.59999990463257
"3333","2309320",6.9,0,0,52,0,6.90000009536743,6.5450001001358,6.90000009536743
"3334","2309339",5.7,0,1,17,0,5.67999982833862,5.40519224313589,5.69999980926514
"3335","2309376",6,0,0,26,0,5,5.58333333333333,4.95000004768372
"3336","2309377",2.3,6,4,7,0,2.29999995231628,3.32699996352196,2.29999995231628
"3337","2309472",6.8,0,0,0,0,6.80000019073486,6.80000019073486,6.80000019073486
"3338","2309474",5.5,0,1,13,0,5.5,5.64047617004031,5.5
"3339","2309479",7.2,0,0,15,0,7.19999980926514,7.04843735694885,7.19999980926514
"3340","2309506",5.9,0,0,19,0,5.90000009536743,6.34999996423721,5.90000009536743
"3341","2309617",7.1,0,0,4,0,7.09999990463257,7.04666662216187,7.09999990463257
"3342","2309667",6.9,0,0,21,0,6.90000009536743,6.58037040616259,6.90000009536743
"3343","2309694",7.6,0,1,35,9,6.44666665395101,6.93368378148749,5
"3344","2309701",4.5,0,20,6,0,4.5,4.15433201414567,4.34166665871938
"3345","2309727",5.6,0,2,21,0,5.59999990463257,5.59999990463257,7.46666677792867
"3346","2309769",6.8,0,0,23,1,6.80000019073486,6.80000019073486,6.80000019073486
"3347","2309776",6.1,0,0,26,0,6.09999990463257,5.49215684377847,6.09999990463257
"3348","2309983",9.1,0,0,0,2,9.10000038146973,9.10000038146973,9.10000038146973
"3349","2310042",5.8,0,0,17,0,5.80000019073486,5.80000019073486,5.75555565622118
"3350","2310101",5,0,65,50,0,5.09999990463257,5.88674135433879,5.65714287757874
"3351","2310187",5.6,0,0,18,0,5.59999990463257,5.7249999332428,5.59999990463257
"3352","2310247",5.3,0,4,138,0,5.45000004768372,5.4750000834465,5.30000019073486
"3353","2310772",3.3,0,15,0,0,3.25,3.26547617571695,3.66666662693024
"3354","2311014",5.7,0,0,42,0,5.79999990463257,6.28352933864968,6.37695647115293
"3355","2311248",7.3,0,0,24,1,7.16875016689301,7.18333349227905,7.28414513331987
"3356","2311325",3.5,0,14,0,0,3.60476189567929,3.68333331743876,3.63199998855591
"3357","2311351",8.7,0,0,0,5,8.10000006357829,8.47499990463257,8.10000006357829
"3358","2311357",5.7,0,3,91,0,5.86249995231628,6.36644461735626,6.34449877930688
"3359","2311384",7.8,0,0,7,12,7.46666669845581,7.25075067294688,7.20740746745357
"3360","2311641",6.5,0,0,67,0,6.78749993443489,6.68803852614542,6.28333330154419
"3361","2311657",3.2,0,13,13,0,3.50666666030884,3.76687751261257,3.20000004768372
"3362","2311686",7.4,0,0,47,1,7.20000004768372,6.6581035307217,7.13333336512248
"3363","2311699",6.2,0,1,9,0,6.19999980926514,6.19999980926514,6.19999980926514
"3364","2311703",8.3,0,0,3,70,8.30000019073486,8.30000019073486,8.30000019073486
"3365","2311899",7,0,0,13,0,7,6.91388887829251,7
"3366","2311917",7.2,0,0,8,0,7.19999980926514,6.9941175473727,7.19999980926514
"3367","2311972",6.3,0,0,14,0,6.62000007629395,6.43555566510584,6.5545455975966
"3368","2312012",8.2,0,0,23,9,7.4764705545762,7.16350573609525,7.38333331214057
"3369","2312329",6.6,0,0,12,0,6.89999985694885,6.4283709639056,6.57499992847443
"3370","2312354",6.3,0,1,10,0,6.5,6.30000019073486,6.5
"3371","2312362",7.4,0,0,19,1,7.40000009536743,7.1615556218889,6.94285719735282
"3372","2312383",3.2,0,9,4,0,3.20000004768372,3.54305559396744,3.72666672070821
"3373","2312403",5.9,0,0,6,0,5.90000009536743,5.78931631033237,5.90000009536743
"3374","2312404",6.1,0,0,5,0,6.09999990463257,6.09999990463257,6.09999990463257
"3375","2312552",5.6,0,0,3,0,5.59999990463257,5.59999990463257,5.59999990463257
"3376","2312570",6.6,0,4,74,0,6.5,6.11624452521389,6.52499992506845
"3377","2312645",7.3,0,0,48,0,6.5,6.3980508848314,6.52499992506845
"3378","2312662",5.6,0,3,23,0,5.59999990463257,5.3659999370575,5.84999990463257
"3379","2312715",3.6,0,8,6,0,3.59999990463257,3.87272721348387,3.59999990463257
"3380","2312817",7.7,0,0,1,4,7.69999980926514,7.39333324432373,7.69999980926514
"3381","2312832",6.7,0,0,0,0,6.69999980926514,5.72222211625841,6.69999980926514
"3382","2312848",4.3,0,25,30,0,5.40000009536743,4.93367218890487,3.80000013113022
"3383","2312886",7.6,0,0,9,21,7.59999990463257,7.5214284828731,7.59999990463257
"3384","2312946",7.7,0,0,0,13,7.69999980926514,7.69999980926514,7.69999980926514
"3385","2312953",8,0,0,2,1,7.73333342870076,8,7.86666671435038
"3386","2313128",8.4,0,0,0,0,8.39999961853027,8.39999961853027,8.39999961853027
"3387","2313158",4.4,0,15,5,0,3.90000009536743,4.33757584311745,4.05000007152557
"3388","2313432",5.9,0,2,45,0,5.76666657129924,5.90166669090589,6.63624996675385
"3389","2313574",6.9,0,0,21,0,6.90000009536743,6.66986535454439,6.90000009536743
"3390","2313624",5,0,22,39,0,5.96923076189481,5.96118898228789,6.2358974187802
"3391","2313790",7.4,0,0,6,0,7.40000009536743,7.40000009536743,7.40000009536743
"3392","2313799",4.6,0,2,5,0,4.59999990463257,4.59999990463257,4.59999990463257
"3393","2313888",6.7,0,0,15,0,6.69999980926514,6.29999983310699,6.22499988476435
"3394","2313936",4,0,18,10,0,5.06666668256124,4.92785858303972,4.51250000298023
"3395","2313985",6.8,0,0,32,0,6.26666673024495,6.19090908223932,6.55833338896433
"3396","2314178",5.6,0,3,48,0,5.5,6,5.7657142502921
"3397","2314256",5.7,0,1,4,0,7.73076919408945,6.68499987125397,6.53333322207133
"3398","2314263",7.7,0,2,48,21,7.26666661103566,7.31278898472689,7.17099989370866
"3399","2314328",7.2,0,1,42,0,5.89999993642171,6.34444438086616,5.77499997615814
"3400","2314396",5.9,0,1,22,0,6.25000011920929,5.86933339807722,6.07500010728836
"3401","2314413",3.3,0,16,15,0,4.29999989271164,4.88876564556436,3.38888886239794
"3402","2314507",6.1,0,0,6,0,6.09999990463257,5.94999991144453,6.09999990463257
"3403","2314592",7.3,0,0,5,0,5.95000004768372,6.88750016689301,5.95000004768372
"3404","2314659",6.4,0,0,10,0,6.37500011920929,6.38000009854635,6.40000009536743
"3405","2314674",4.6,0,9,1,0,4.59999990463257,4.59999990463257,4.59999990463257
"3406","2314995",4.4,0,22,15,0,4.40000009536743,4.32500004768372,5.27499997615814
"3407","2315042",7.1,0,0,29,0,7.09999990463257,6.92333327929179,7.09999990463257
"3408","2315058",6.1,0,0,14,0,4.34999990463257,6.12619040125892,4.34999990463257
"3409","2315145",5.3,0,0,12,0,5.90000009536743,5.59666674137115,5.95000004768372
"3410","2315146",7.2,0,1,22,0,6.84999990463257,6.70661761480219,7.02321420397077
"3411","2315218",3.7,0,19,20,0,4.13571436064584,4.18265309990669,4.19761912027995
"3412","2315246",6.3,0,3,31,0,6.30000019073486,6.67583344115151,6.30000019073486
"3413","2315248",6.3,0,0,28,0,5.90000009536743,6.29285728363764,6.05000011693864
"3414","2315309",7.3,0,0,5,0,7.30000019073486,6.77500003576279,7.39166680971781
"3415","2315554",6.7,0,0,16,0,6.69999980926514,6.62499987602234,6.69999980926514
"3416","2315570",6.3,0,1,2,0,6.30000019073486,5.94666681289673,6.30000019073486
"3417","2315625",7.5,0,0,53,0,6.33333333333333,7.03091854579521,6.33333333333333
"3418","2315838",7.6,0,0,10,12,7.59999990463257,7.51351341685733,7.59999990463257
"3419","2315860",6.3,0,0,59,0,6.53750004371007,6.01160716017087,6.1235294342041
"3420","2316021",7.7,0,0,8,5,7.03333330154419,6.92928885031572,7.44999986886978
"3421","2316071",7.4,0,0,15,0,6.88333336512248,6.7133333755864,6.86666671435038
"3422","2316114",7.5,0,0,8,0,7.03333330154419,7.5,7.11666663487752
"3423","2316145",6.4,0,0,14,0,6.40000009536743,6.73040480420703,6.75000011920929
"3424","2316681",8.1,0,0,10,35,6.80000009536743,6.72916672627131,6.90000016689301
"3425","2316800",7.8,0,0,8,23,7.80000019073486,7.32500016689301,7.80000019073486
"3426","2316918",6.8,0,0,20,0,6.80000019073486,6.80000019073486,6.80000019073486
"3427","2317035",5.8,0,0,7,0,5.80000019073486,6.65749999582768,5.85000014305115
"3428","2317105",3.1,0,27,6,0,4.39999985694885,4.57083328564962,5.26666657129923
"3429","2317116",6,0,0,19,0,6,6.03428570713316,6.04999995231628
"3430","2317131",5.4,0,0,4,0,5.40000009536743,5.40000009536743,5.40000009536743
"3431","2317179",6.2,0,1,131,0,6.33611116144392,6.04690805399623,6.34786320547772
"3432","2317198",6.2,0,1,37,0,6.19999980926514,5.89999985694885,6.19999980926514
"3433","2317234",7.2,0,0,4,0,7.34999990463257,6.66666650772095,7.5
"3434","2317338",7,0,0,28,1,7,6.66111114290026,7
"3435","2317479",6.8,0,0,32,0,6.80000019073486,6.53054158631436,6.80000019073486
"3436","2317541",6.5,0,0,23,0,6.5,6.28000001907349,6.5
"3437","2317664",6.3,0,0,34,0,6.80000019073486,6.30000019073486,6.80000019073486
"3438","2317855",5.6,0,0,8,0,5.20000004768372,5.2958333392938,5.20000004768372
"3439","2317910",6.9,0,0,35,1,6.35000014305115,6.01492644304202,6.71666677792867
"3440","2317940",5,0,18,20,0,5,5.1074404943557,5.45000004768372
"3441","2318045",8.9,0,0,37,24,7.83000001907349,7.30905876762727,7.57499980926514
"3442","2318124",3.5,0,28,10,0,4.95000004768372,3.85833333503632,3.5
"3443","2318162",6.6,0,0,24,0,6.59999990463257,6.51448412547036,6.67619046710786
"3444","2318432",6.6,0,1,9,0,6.59999990463257,6.2864582935969,6.59999990463257
"3445","2318444",6.2,0,1,32,0,6.19999980926514,6.12999982833862,6.19999980926514
"3446","2318565",6.1,0,0,2,0,6.09999990463257,6.09999990463257,6.09999990463257
"3447","2318667",5.5,0,0,33,0,5.5,6.3250000278155,5.92499995231628
"3448","2318996",4.8,0,10,4,0,4.80000019073486,4.98750001192093,5.22500002384186
"3449","2319002",7.2,0,0,6,0,7.04999983310699,6.54999995231628,7.04999983310699
"3450","2319045",5.5,0,0,3,0,5.90000009536743,5.5,5.5
"3451","2319208",7.1,0,0,45,0,6.79999995231628,6.7907940131447,6.79999991257985
"3452","2319210",5.6,0,0,68,0,5.84999990463257,5.73333331743876,5.72499990463257
"3453","2319219",2.3,13,7,1,0,4.39999997615814,2.93999995390574,2.29999995231628
