«»,Producer, Film, Rating, Budget, Year
41295,2798046,2200139,7.4,"$90,000,000",1997
41296,2798046,2398497,5.8,"$30,000,000",1999
41297,2798046,2403403,6.3,"$50,000,000",2003
41298,2798046,2433591,9.5,"$165,000,000",2013
41299,2798046,2791077,6.8,"$21,000,000",1993
41300,2798046,2798636,6.1,"$23,000,000",2001
41301,2798046,2880597,7.6,"$24,000,000",1991
41302,2798046,2894338,6.4,"$18,500,000",2009
41303,2798046,2932348,6.3,"$70,000,000",1998
41304,2798599,2027649,5.9,"$42,000,000",2002
41305,2798670,2847146,6.8,"$26,000,000",1996
41306,2799426,2034288,6.8,"£2,800,000",2004
41307,2799426,2454117,7.8,"$22,000,000",2005
41308,2799426,2954862,7.7,"£1,500,000",2007
41309,2799426,2993633,6.6,"$1,000,000",1997
41310,2799471,2402816,5.4,"$20,000,000",1999
41311,2799471,2878517,6.3,"$17,000,000",2005
41312,2799549,2387684,6.4,"AUD 6,000,000",2008
